Arabic,English
سَخَّرَ (saḵḵara),to subject | to impose
أَسْلَمَ (ʾaslama),to submit
مَكَرَ (makara),to plot | to scheme | to plan
وَهَبَ (wahaba),to grant | to bestow
أَحْسَنَ (ʾaḥsana),to do good
اشْتَرَى,to buy | to purchase | to exchange
كَتَمَ (katama),to conceal | to hide
مَشَ (maša),to walk
أَمَاتَ (ʾamāta),to cause death
اسْتُهْزِئَ,to mock | to ridicule
وَضَعَ (waḍaʿa),to deliver | to give birth
أَمِنَ (ʾamina),to feel secure
بَلَوْ (balaw),to test
حَقَّ (ḥaqqa),to justify | to prove true
أَحَلَّ (ʾaḥalla),to make lawful
سَبَقَ (sabaqa),to precede
سَعَى (saʿā),to strive | to run
أَعَدَّ (ʾaʿadda),to prepare
عَرَفَ (ʿarafa),to know | to recognize
تَعَلَى (taʿalā),to be exalted | to be high
أَقْسَمُ (ʾaqsamu),to swear
قَصَّ (qaṣṣa),to narrate
كَلَّمَ (kallama),to speak
أَنشَأَ,to produce | to raise
يَضُرَّ (yaḍurra),to harm
اسْتَعْجَلَ,to seek| to hasten
يَفْقَهُ (yafqahu),to understand
نَفَخَ (nafaḵa),to blow | to breathe
تَبَيَّنَ (tabayyana),to become clear
أُخْفِىَ,to conceal | to hide
ذُكِّرَ (ḏukkira),to remind
أَسَرَّ (ʾasarra),to conceal
عَادَ (ʿāda),to return
أُعِيدُ (ʾuʿīdu),to return
مَتَّعْ (mattaʿ),to grant | to bestow | to provide
أَمْسَكَ (ʾamsaka),to retain | to withhold
نِعْمَ (niʿma),to be excellent
وَفَّى (waffā),to pay in full | to fulfill
أَوْفَى (ʾawfā),to fulfill
أَحَاطَ (ʾaḥāṭa),to surround | to encompass
أَدْرَى (ʾadrā),to make known
أُغْرِقُ (ʾuḡriqu),to drown
فَصَّلَ (faṣṣala),to make clear | to explain in detail
فَضَّلَ (faḍḍala),to bestow | to prefer | to favor
يَتَفَكَّرُ (yatafakkaru),to ponder | to reflect
انقَلَبَ,to turn back | to return
كَرِهَ (kariha),to dislike | to hate
أَنْعَمَ (ʾanʿama),to bestow favor
وَدَّ (wadda),to love | to wish
أُفِكَ (ʾufika),to delude | to turn away
بَسَطَ (basaṭa),to extend | to stretch
أَتَمَّ (ʾatamma),to fulfill | to complete | to perfect
خَسِرَ (ḵasira),to lose
اسْتَمَعَ,to listen
سَارَ (sāra),to travel
فَتَحَ (fataḥa),to open | to give victory
فَرِحَ (fariḥa),to rejoice
قَدَّرَ (qaddara),to determine | to plot
قَرَأَ (qaraʾa),to read | to recite
مَنَّ (manna),to favor
أَنۢبَتَ,to make grow
انتَهَى,to refrain | to cease | to desist
هَاجَرَ (hājara),to emigrate
وَقَى (waqā),to save | to protect
أَخَّرَ (ʾaḵḵara),to delay | to give respite
أُوذِىَ,to harm | to trouble
يُبْدِىَ,to reveal | to disclose
أَتْبَعَ (ʾatbaʿa),to follow
سَكَنَ (sakana),to dwell | to live | to rest
شَرِبَ (šariba),to drink
صَدَقَ (ṣadaqa),to be truthful | to fulfill
صَنَعُ (ṣanaʿu),to make | to construct | to do
اعْتَدَى,to transgress
غَرَّ (ḡarra),to deceive | to delude
غَلَبُ (ḡalabu),to overcome | to defeat
أَغْنَى (ʾaḡnā),to avail | to prosper
أَفْسَدُ (ʾafsadu),to cause corruption
وَعَظْ (waʿaẓ),to instruct | to advise | to preach
حَلَلْ (ḥalal),to descend | to be lawful
أَخْلَفُ (ʾaḵlafu),to break | to fail
صَرَفَ (ṣarafa),to divert | to turn away
أَعْتَدَتْ (ʾaʿtadat),to prepare
عَدَلَ (ʿadala),to be just
كَشَفَ (kašafa),to remove | to uncover
كَفَّرَ (kaffara),to remove
لَقُ (laqu),to receive | to meet
نَكَحَ (nakaḥa),to marry
أَبَى (ʾabā),to refuse
تَرَبَّصْ (tarabbaṣ),to await
زَعَمَ (zaʿama),to claim
أَسْمَعَ (ʾasmaʿa),to make hear
سَوَّى (sawwā),to fashion | to proportion
يَصْلَى (yaṣlā),to burn
أَطْعَمَ (ʾaṭʿama),to feed
غَشِيَ (ḡašiya),to cover
مَدَّ (madda),to spread | to extend | to prolong
مَكَّ (makka),to establish
وَرِثَ (wariṯa),to inherit
يَصِفُ (yaṣifu),to attribute | to ascribe
اسْتَـْٔذَنَ,to ask permission
بَدَأَ (badaʾa),to begin | to originate
جَحَدُ (jaḥadu),to reject | to deny
حَبِطَ (ḥabiṭa),to become worthless
حَآجَّ (ḥaʾājja),to argue
يَحْذَرُ (yaḥḏaru),to fear | to beware
حَلَفْ (ḥalaf),to swear
خَرَّ (ḵarra),to fall
أَخْزَيْ (ʾaḵzay),to disgrace
تَدْرِى,to know
زَكَّى (zakkā),to purify
سَقَى (saqā),to water | to give drink
سَلَكَ (salaka),to insert | to make enter
اصْطَفَى,to choose
صَلَّى (ṣallā),to pray | to bless
طَغَى (ṭaḡā),to transgress | to overflow
أَعْلَن (ʾaʿlan),to declare | to reveal | to proclaim
قُطِعَ (quṭiʿa),to cut
قَطَّعَ (qaṭṭaʿa),to cut | to divide
قَعَدَ (qaʿada),to sit
مَنَعَ (manaʿa),to prevent
يُنظَرُ,to give respite
أَوْرَثَ (ʾawraṯa),to make inherit
وَقَعَ (waqaʿa),to fall | to occur | to fulfill
يُوقِنُ (yūqinu),to believe firmly
بَدَا (badā),to become apparent
بَنَى (banā),to construct | to build
أَذْهَبَ (ʾaḏhaba),to remove | to take away
سَخِرَ (saḵira),to ridicule | to mock
طَبَعَ (ṭabaʿa),to seal
أَعْجَبَ (ʾaʿjaba),to please | to impress
عَرَضَ (ʿaraḍa),to display | to present | to expose | to turn away
عَهَدَ (ʿahada),to make a covenant
يَقْرَبُ (yaqrabu),to approach | to go near
كَذَبَ (kaḏaba),to deny | to lie
لَبَسْ (labas),to obscure | to confuse | to mix | to wear
تَمَتَّعَ (tamattaʿa),to enjoy
أَنَابَ (ʾanāba),to turn
يَنَالُ (yanālu),to reach
هَادُ (hādu),to be Jewish
وَصَّى (waṣṣā),to enjoin
يَسَّرَ (yassara),to make easy
بَخِلَ (baḵila),to be stingy | to withhold
ثَبَّتْ (ṯabbat),to make firm
اجْتَبَى,to choose
أَحْصَى (ʾaḥṣā),to count | to calculate | to enumerate
حَاقَ (ḥāqa),to surround | to encompass | to envelope
صَدَّقَ (ṣaddaqa),to accept truth | to admit | to confirm | to believe
صَرَّفْ (ṣarraf),to explain
أَضَاعُ (ʾaḍāʿu),to let go waste | to neglect
طَلَّقَ (ṭallaqa),to divorce
ظَهَرَ (ẓahara),to appear | to become manifest
عُذْ (ʿuḏ),to seek refuge
فَسَقَ (fasaqa),to disobey defiantly
فَطَرَ (faṭara),to create
تَقَبَّلَ (taqabbala),to accept
اسْتَقَمُ,to be upright | to be straight | to stand firm
أَمَدَّ (ʾamadda),to reinforce | to extend | to provide | to aid
مَرَّ (marra),to pass | to continue
نَبَذَ (nabaḏa),to throw | to cast
نَزَعَ (nazaʿa),to take way | to remove | to withdraw
يَصِلُ (yaṣilu),to join | to reach
يُولِجُ (yūliju),to cause enter
يُؤَاخِذُ (yuʾāḵiḏu),to call| to account | to punish
ءَاوَى (ʾāwā),to give shelter
أَيَّدَ (ʾayyada),to support | to strengthen
تَبَارَكَ (tabāraka),to be blessed
تَبِعَ (tabiʿa),to follow
اجْتَنَبُ,to avoid
يَسْتَحْىِ,to let live | to be shy | to be ashamed
خَاضُ (ḵāḍu),to engage in idle talk | to converse vainly
رَكِبَ (rakiba),to ride | to embark
رَمَى (ramā),to throw | to accuse
ارْتَابَ,to doubt
يَتَسَآءَلُ (yatasaʾāʾalu),to question | to ask | to inquire
يُسَرِعُ (yusariʿu),to hasten
يُضَعِفُ (yuḍaʿifu),to double | to multiply
انطَلَقَ,to set out | to proceed | to go forth
اطْمَأَنَّ,to be satisfied | to be secure | to be content
طَهَّرَ (ṭahhara),to purify
ظَلَّ (ẓalla),to continue | to remain
فَرَضَ (faraḍa),to specify | to ordain | to make obligatory
فَرَّقُ (farraqu),to differentiate | to make distinction
يَقْبَلُ (yaqbalu),to accept
أَقْبَلَ (ʾaqbala),to approach
قَذَفَ (qaḏafa),to cast | to throw | to hurl
يَلْعَبْ (yalʿab),to play
أَمْلَى (ʾamlā),to give respite
يَنطِقُ,to speak
وَلَدَ (walada),to beget | to be born
بَرَكَ (baraka),to bless
ابْتَلَى,to test | to try
أُجِيبَت (ʾujībat),to answer | to respond
خَسَفَ (ḵasafa),to cause| to swallow
اخْتَصَمُ,to dispute
خَفَّفَ (ḵaffafa),to lighten
دَمَّرَ (dammara),to destroy
ارْتَدَّ,to turn back | to return
